policy,seed,map_seed,policy_seed,final_explored_fraction,total_collisions,collision_rate,total_reward
theta,0,1000,2000,0.016599999740719795,3,0.00375,165.6999969482422
frontier,0,1000,2000,0.013000000268220901,6,0.0075,129.39999389648438
levy,0,1000,2000,0.010200000368058681,242,0.3025,77.79999542236328
theta,1,1001,2001,0.01899999938905239,0,0.0,190.0
frontier,1,1001,2001,0.01730000041425228,0,0.0,173.0
levy,1,1001,2001,0.01899999938905239,111,0.13875,178.89999389648438
theta,2,1002,2002,0.01899999938905239,0,0.0,190.0
frontier,2,1002,2002,0.017100000753998756,3,0.00375,170.6999969482422
levy,2,1002,2002,0.02410000003874302,8,0.01,240.1999969482422
theta,3,1003,2003,0.01899999938905239,0,0.0,190.0
frontier,3,1003,2003,0.01209999993443489,106,0.1325,110.39999389648438
levy,3,1003,2003,0.02459999918937683,20,0.025,244.0
theta,4,1004,2004,0.00559999980032444,205,0.25625,35.5
frontier,4,1004,2004,0.01730000041425228,0,0.0,173.0
levy,4,1004,2004,0.019300000742077827,105,0.13125,182.5
theta,5,1005,2005,0.003000000026077032,262,0.3275,3.799999237060547
frontier,5,1005,2005,0.016200000420212746,3,0.00375,161.6999969482422
levy,5,1005,2005,0.014999999664723873,154,0.1925,134.60000610351562
theta,6,1006,2006,0.011800000444054604,107,0.13375,107.30000305175781
frontier,6,1006,2006,0.01730000041425228,0,0.0,173.0
levy,6,1006,2006,0.02070000022649765,5,0.00625,206.5
theta,7,1007,2007,0.009600000455975533,145,0.18125,81.5
frontier,7,1007,2007,0.01730000041425228,0,0.0,173.0
levy,7,1007,2007,0.02019999921321869,7,0.00875,201.29998779296875
theta,8,1008,2008,0.011800000444054604,103,0.12875,107.69999694824219
frontier,8,1008,2008,0.01730000041425228,0,0.0,173.0
levy,8,1008,2008,0.023600000888109207,4,0.005,235.60000610351562
theta,9,1009,2009,0.01899999938905239,0,0.0,190.0
frontier,9,1009,2009,0.01730000041425228,0,0.0,173.0
levy,9,1009,2009,0.013799999840557575,164,0.205,121.5999984741211
